year,country,region,pf_ss_women_fgm,pf_ss_women_inheritance,pf_movement_women,pf_identity_sex_female,pf_identity_divorce,pf_score,ef_score,hf_score,sex,age,suicides_no,population,suicides_p100k,gdp_per_capita
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,male,15-24,281,1608990,17.46,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,female,35-54,294,3203643,9.18,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,female,15-24,110,1526305,7.21,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,female,25-34,119,1747715,6.81,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,female,55-74,152,2411343,6.3,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,female,75+,52,884347,5.88,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,female,5-14,8,1428159,0.56,60656
2015,Australia,Oceania,10,10,10,10,10,9.214745272,8,8.607372636,male,5-14,6,1507502,0.4,60656
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,male,75+,214,290329,73.71,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,male,55-74,294,915115,32.13,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,male,35-54,313,1279822,24.46,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,female,75+,70,461676,15.16,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,male,25-34,78,590968,13.2,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,male,15-24,61,519646,11.74,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,female,55-74,100,998854,10.01,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,female,35-54,79,1273034,6.21,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,female,15-24,19,490742,3.87,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,female,25-34,21,576661,3.64,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,female,5-14,1,400831,0.25,46484
2015,Austria,Western Europe,10,10,10,10,10,9.379794281,7.64,8.509897141,male,5-14,1,421708,0.24,46484
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,male,75+,177,392775,45.06,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,male,35-54,529,1567729,33.74,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,male,55-74,353,1200170,29.41,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,male,25-34,161,728873,22.09,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,female,35-54,221,1534727,14.4,42830
2015,Belgium,Western Europe,10,10,10,10,10,9.185713173,7.43,8.307856586,female,75+,87,616201,14.12,42830
